node_id,x_coord,y_coord
250700083,2641936.77,4577065.34
250700084,2641857.48,4577188.01
250700085,2641804.15,4577270.66
250700142,2641517.30,4577010.88
250700248,2641665.96,4577056.49
250700339,2641977.52,4577269.34
250700341,2641812.96,4577157.83
250700343,2641748.48,4577114.12
250700344,2641543.46,4576969.65
250702474,2641760.18,4576915.09
250706414,2641931.56,4576227.33
250706416,2641856.62,4576239.63
250706417,2641814.69,4576247.61
250706418,2641738.59,4576259.84
250706436,2641910.50,4576100.59
250706958,2642058.03,4577141.91
250706959,2641925.39,4577351.86
250706960,2641865.86,4577440.07
250707461,2642107.27,4577473.19
250707871,2641711.09,4577208.32
250708051,2641754.14,4577116.69
250708099,2641832.45,4576995.03
250708522,2642152.21,4577206.97
250708523,2642233.80,4577259.82
250708524,2642244.98,4577267.06
250708556,2642189.20,4577153.04
250708641,2642091.00,4577089.73
250708642,2642269.56,4577203.48
250708689,2642421.17,4577110.67
250708690,2642481.34,4577148.73
250708783,2642517.74,4577093.70
250709162,2642073.05,4576798.55
250709317,2641589.99,4576524.14
250709582,2641852.23,4576511.25
250709637,2641716.45,4576293.31
250709640,2641655.03,4576372.17
250712698,2642112.55,4577495.87
250712701,2641984.53,4577391.61
250712716,2642159.55,4577394.59
250712717,2642476.14,4577607.48
250712719,2642380.47,4577544.37
250712724,2642278.94,4577696.64
250712726,2642376.70,4577759.96
250712970,2642503.64,4577357.23
250713331,2642209.73,4578023.58
250713506,2642467.57,4577411.25
250713539,2641765.19,4577331.04
250714050,2641582.07,4577359.86
250714051,2641542.87,4577154.36
250714052,2641597.76,4577442.00
250714944,2641782.07,4578418.11
250718423,2641378.41,4578270.61
250718424,2641460.55,4578253.96
250720871,2641258.70,4577211.77
250720872,2641117.36,4577241.60
250720873,2641038.08,4577258.32
250720874,2640952.82,4577276.31
250921080,2640976.56,4577394.25
250922141,2640981.44,4578354.94
250922418,2640966.56,4576646.36
250922421,2641137.03,4576614.48
251082919,2641980.25,4577759.24
251133915,2641331.01,4576052.23
251134491,2641421.37,4576018.63
262236447,2641413.77,4577223.59
262646289,2641014.41,4576962.08
262652281,2641651.54,4576510.10
262652487,2641754.78,4576351.24
300395140,2642547.81,4577290.65
300398465,2641313.50,4577494.85
300400246,2642466.11,4576893.77
300400247,2642387.05,4576843.42
300400248,2642288.16,4576782.22
300400470,2642277.79,4576535.25
300400472,2642495.18,4576679.60
300401174,2642497.62,4576453.37
300401270,2642470.47,4576362.10
300401271,2642437.57,4576412.53
300401360,2642392.30,4576488.10
311319355,2640988.16,4576730.42
353767087,2640975.41,4576602.10
353767238,2641087.25,4576294.17
353767240,2641138.66,4576184.40
353767798,2641003.48,4576293.32
353767804,2640907.77,4576180.63
353767898,2641074.22,4576626.67
353767906,2641068.28,4576445.76
353768003,2641207.79,4576599.99
353787758,2640923.93,4576567.19
358464012,2642235.37,4578156.41
358464018,2642187.11,4578165.98
358464027,2642132.49,4578176.92
358464040,2642065.41,4578192.19
358464049,2641950.06,4578214.78
358464159,2642121.83,4578117.60
358464166,2642053.83,4578131.96
358464174,2641938.42,4578156.40
358464177,2641876.91,4578244.26
358464212,2641868.00,4578230.85
358464213,2641856.51,4578173.76
358464358,2642537.51,4578200.13
358464361,2642366.47,4578145.11
358464686,2641399.03,4578376.89
358464838,2641068.59,4578378.18
358464861,2640983.20,4578403.24
358465130,2641178.56,4578398.79
358465138,2641069.98,4578401.29
358465139,2641178.16,4578387.80
358465167,2641481.23,4578360.65
358465186,2641758.40,4578306.28
358465410,2641614.51,4578334.50
358465904,2641471.75,4578052.19
358465939,2641506.68,4578244.71
358465943,2641908.97,4578393.21
358466006,2641794.84,4578415.61
359093543,2642273.21,4577470.08
359093551,2642390.90,4577285.56
359093560,2642355.77,4577338.71
359093566,2642434.68,4577219.34
359093585,2642445.61,4576754.70
359096435,2642288.96,4577898.38
361401015,2641131.85,4576143.60
363357735,2641488.23,4577054.97
364104825,2642126.79,4577186.81
364104830,2642048.48,4577315.63
364104852,2642053.63,4577437.71
364104856,2642106.23,4577356.68
388172051,2641903.16,4577218.99
388172055,2641963.22,4577172.15
388172056,2642020.65,4577116.59
388172075,2641998.96,4577235.41
388172082,2641955.36,4577254.38
388172083,2641855.77,4577305.20
515962403,2641753.62,4578195.54
516020343,2641943.16,4578228.95
516020349,2641893.56,4578309.46
516020362,2641817.60,4578257.96
516020524,2641610.59,4577513.33
569850326,2642211.07,4578030.32
569850330,2642470.61,4578079.66
584037857,2641081.69,4576151.89
597677303,2641687.14,4577942.14
599116897,2642013.68,4576945.91
625958232,2642067.79,4578204.30
626001826,2641266.76,4578205.16
626001832,2641361.67,4578184.40
631608665,2642238.26,4578170.51
633556163,2640984.69,4578442.56
633556164,2641072.96,4578441.22
633556167,2641180.48,4578437.62
633556170,2641338.07,4578389.04
633559145,2640978.67,4578247.87
633559161,2641026.09,4578246.57
633560133,2640899.13,4577913.60
633560134,2640911.37,4577989.83
633562896,2640967.84,4577774.19
633562897,2640968.20,4577649.98
635122963,2641625.67,4578390.93
635122964,2641769.50,4578362.71
635122987,2641494.99,4578432.18
635122988,2641628.41,4578406.65
635126478,2641496.18,4578187.25
635126483,2641584.13,4578177.28
635132981,2641244.26,4577813.16
635132991,2641210.88,4577819.26
635138660,2640966.53,4577344.36
635442926,2642242.62,4577969.70
